Pattern, Target, Solution size, Nodes, Cut branches, Conflicts, Elapsed time, Best time
./data/si/si6_m4D_m4Dr2_256/si6_m4Dr2_m256.07/pattern, ./data/si/si6_m4D_m4Dr2_256/si6_m4Dr2_m256.07/target, 153, 579, 426, 266, 6, 4
./data/si/si2_bvg_b09_400/si2_b09_m400.00/pattern, ./data/si/si2_bvg_b09_400/si2_b09_m400.00/target, 80, 571, 491, 10, 9, 6
./data/si/si4_bvg_b09_200/si4_b09_m200.00/pattern, ./data/si/si4_bvg_b09_200/si4_b09_m200.00/target, 80, 371, 291, 10, 3, 2
./data/si/si4_bvg_b09_800/si4_b09_m800.03/pattern, ./data/si/si4_bvg_b09_800/si4_b09_m800.03/target, 320, 1451, 1131, 10, 42, 30
./data/si/si6_bvg_b06_400/si6_b06_m400.08/pattern, ./data/si/si6_bvg_b06_400/si6_b06_m400.08/target, 240, 886, 646, 5, 12, 9
./data/si/si4_bvg_b06_400/si4_b06_m400.04/pattern, ./data/si/si4_bvg_b06_400/si4_b06_m400.04/target, 160, 726, 566, 5, 10, 7
./data/si/si2_bvg_b03_800/si2_b03_m800.03/pattern, ./data/si/si2_bvg_b03_800/si2_b03_m800.03/target, 160, 1123, 963, 1, 37, 25
./data/si/si4_bvg_b06_400/si4_b06_m400.07/pattern, ./data/si/si4_bvg_b06_400/si4_b06_m400.07/target, 160, 726, 566, 5, 11, 7
./data/si/si6_bvg_b03_400/si6_b03_m400.02/pattern, ./data/si/si6_bvg_b03_400/si6_b03_m400.02/target, 240, 883, 643, 1, 13, 9
./data/si/si2_bvg_b03_200/si2_b03_m200.04/pattern, ./data/si/si2_bvg_b03_200/si2_b03_m200.04/target, 40, 283, 243, 1, 2, 1
./data/si/si4_bvg_b03_400/si4_b03_m400.06/pattern, ./data/si/si4_bvg_b03_400/si4_b03_m400.06/target, 160, 723, 563, 0, 10, 7
./data/si/si4_bvg_b03_400/si4_b03_m400.03/pattern, ./data/si/si4_bvg_b03_400/si4_b03_m400.03/target, 160, 723, 563, 1, 10, 7
./data/si/si6_bvg_b03_800/si6_b03_m800.01/pattern, ./data/si/si6_bvg_b03_800/si6_b03_m800.01/target, 480, 1763, 1283, 1, 50, 38
./data/si/si6_bvg_b03_400/si6_b03_m400.01/pattern, ./data/si/si6_bvg_b03_400/si6_b03_m400.01/target, 240, 883, 643, 1, 13, 10
./data/si/si2_bvg_b03_800/si2_b03_m800.05/pattern, ./data/si/si2_bvg_b03_800/si2_b03_m800.05/target, 160, 1123, 963, 0, 35, 24
./data/si/si4_bvg_b06_400/si4_b06_m400.09/pattern, ./data/si/si4_bvg_b06_400/si4_b06_m400.09/target, 160, 726, 566, 5, 11, 7
./data/si/si4_bvg_b03_200/si4_b03_m200.02/pattern, ./data/si/si4_bvg_b03_200/si4_b03_m200.02/target, 80, 363, 283, 0, 3, 2
./data/si/si6_bvg_b06m_800/si6_b06m_m800.09/pattern, ./data/si/si6_bvg_b06m_800/si6_b06m_m800.09/target, 480, 1808, 1328, 839, 55, 42
./data/si/si6_bvg_b09m_200/si6_b09m_m200.02/pattern, ./data/si/si6_bvg_b09m_200/si6_b09m_m200.02/target, 120, 460, 340, 218, 4, 2
./data/si/si6_bvg_b06m_800/si6_b06m_m800.00/pattern, ./data/si/si6_bvg_b06m_800/si6_b06m_m800.00/target, 480, 1814, 1330, 831, 55, 42
./data/si/si4_bvg_b06_800/si4_b06_m800.03/pattern, ./data/si/si4_bvg_b06_800/si4_b06_m800.03/target, 320, 1446, 1126, 5, 42, 30
./data/si/si6_bvg_b06_400/si6_b06_m400.05/pattern, ./data/si/si6_bvg_b06_400/si6_b06_m400.05/target, 240, 886, 646, 5, 13, 10
./data/si/si2_m4D_m4D_256/si2_m4D_m256.00/pattern, ./data/si/si2_m4D_m4D_256/si2_m4D_m256.00/target, 51, 31695, 16913, 5932, 80, 79
./data/si/si6_bvg_b06_400/si6_b06_m400.00/pattern, ./data/si/si6_bvg_b06_400/si6_b06_m400.00/target, 240, 886, 646, 5, 13, 10
